passenger_id,passenger_arrival_time,origin_vertiport_id,destination_vertiport_id
0,50.0,DTLA,LAX
1,9523.0,DTLA,LAX
2,10029.0,DTLA,LAX
3,11303.0,DTLA,LAX
4,11975.0,DTLA,LAX
5,12916.0,DTLA,LAX
6,13745.0,DTLA,LAX
7,13936.0,DTLA,LAX
8,13947.0,DTLA,LAX
9,14441.0,DTLA,LAX
10,14518.0,DTLA,LAX
11,14639.0,DTLA,LAX
12,14751.0,DTLA,LAX
13,15579.0,DTLA,LAX
14,15858.0,DTLA,LAX
15,16109.0,DTLA,LAX
16,16191.0,DTLA,LAX
17,16201.0,DTLA,LAX
18,16427.0,DTLA,LAX
19,16467.0,DTLA,LAX
20,16479.0,DTLA,LAX
21,16598.0,DTLA,LAX
22,16757.0,DTLA,LAX
23,16792.0,DTLA,LAX
24,16839.0,DTLA,LAX
25,16972.0,DTLA,LAX
26,17029.0,DTLA,LAX
27,17244.0,DTLA,LAX
28,17398.0,DTLA,LAX
29,17664.0,DTLA,LAX
30,17698.0,DTLA,LAX
31,17725.0,DTLA,LAX
32,17813.0,DTLA,LAX
33,17868.0,DTLA,LAX
34,17868.0,DTLA,LAX
35,18020.0,DTLA,LAX
36,18246.0,DTLA,LAX
37,18382.0,DTLA,LAX
38,18446.0,DTLA,LAX
39,18541.0,DTLA,LAX
40,18566.0,DTLA,LAX
41,18616.0,DTLA,LAX
42,18641.0,DTLA,LAX
43,18736.0,DTLA,LAX
44,18799.0,DTLA,LAX
45,18904.0,DTLA,LAX
46,18955.0,DTLA,LAX
47,19019.0,DTLA,LAX
48,19230.0,DTLA,LAX
49,19452.0,DTLA,LAX
50,19529.0,DTLA,LAX
51,19553.0,DTLA,LAX
52,19556.0,DTLA,LAX
53,19872.0,DTLA,LAX
54,20288.0,DTLA,LAX
55,20500.0,DTLA,LAX
56,20859.0,DTLA,LAX
57,21131.0,DTLA,LAX
58,21138.0,DTLA,LAX
59,21442.0,DTLA,LAX
60,21478.0,DTLA,LAX
61,21504.0,DTLA,LAX
62,21797.0,DTLA,LAX
63,22050.0,DTLA,LAX
64,22078.0,DTLA,LAX
65,22139.0,DTLA,LAX
66,22362.0,DTLA,LAX
67,22381.0,DTLA,LAX
68,22489.0,DTLA,LAX
69,22624.0,DTLA,LAX
70,22632.0,DTLA,LAX
71,22653.0,DTLA,LAX
72,22796.0,DTLA,LAX
73,23146.0,DTLA,LAX
74,23250.0,DTLA,LAX
75,23270.0,DTLA,LAX
76,23285.0,DTLA,LAX
77,23363.0,DTLA,LAX
78,23441.0,DTLA,LAX
79,23736.0,DTLA,LAX
80,23869.0,DTLA,LAX
81,23888.0,DTLA,LAX
82,23905.0,DTLA,LAX
83,23909.0,DTLA,LAX
84,24096.0,DTLA,LAX
85,24241.0,DTLA,LAX
86,24352.0,DTLA,LAX
87,24352.0,DTLA,LAX
88,24354.0,DTLA,LAX
89,24365.0,DTLA,LAX
90,24746.0,DTLA,LAX
91,24771.0,DTLA,LAX
92,24896.0,DTLA,LAX
93,25202.0,DTLA,LAX
94,25227.0,DTLA,LAX
95,25477.0,DTLA,LAX
96,25570.0,DTLA,LAX
97,25596.0,DTLA,LAX
98,25809.0,DTLA,LAX
99,25916.0,DTLA,LAX
100,26282.0,DTLA,LAX
101,26422.0,DTLA,LAX
102,26471.0,DTLA,LAX
103,26525.0,DTLA,LAX
104,26545.0,DTLA,LAX
105,26625.0,DTLA,LAX
106,26642.0,DTLA,LAX
107,26756.0,DTLA,LAX
108,26796.0,DTLA,LAX
109,26810.0,DTLA,LAX
110,26944.0,DTLA,LAX
111,27021.0,DTLA,LAX
112,27285.0,DTLA,LAX
113,27425.0,DTLA,LAX
114,27452.0,DTLA,LAX
115,27536.0,DTLA,LAX
116,27603.0,DTLA,LAX
117,27637.0,DTLA,LAX
118,27649.0,DTLA,LAX
119,27722.0,DTLA,LAX
120,27864.0,DTLA,LAX
121,27942.0,DTLA,LAX
122,27996.0,DTLA,LAX
123,28028.0,DTLA,LAX
124,28045.0,DTLA,LAX
125,28139.0,DTLA,LAX
126,28284.0,DTLA,LAX
127,28308.0,DTLA,LAX
128,28608.0,DTLA,LAX
129,28738.0,DTLA,LAX
130,28748.0,DTLA,LAX
131,28877.0,DTLA,LAX
132,29083.0,DTLA,LAX
133,29089.0,DTLA,LAX
134,29409.0,DTLA,LAX
135,29509.0,DTLA,LAX
136,29698.0,DTLA,LAX
137,29703.0,DTLA,LAX
138,29772.0,DTLA,LAX
139,29868.0,DTLA,LAX
140,29902.0,DTLA,LAX
141,30025.0,DTLA,LAX
142,30083.0,DTLA,LAX
143,30133.0,DTLA,LAX
144,30134.0,DTLA,LAX
145,30271.0,DTLA,LAX
146,30353.0,DTLA,LAX
147,30360.0,DTLA,LAX
148,30683.0,DTLA,LAX
149,30718.0,DTLA,LAX
150,30770.0,DTLA,LAX
151,30787.0,DTLA,LAX
152,30979.0,DTLA,LAX
153,31122.0,DTLA,LAX
154,31224.0,DTLA,LAX
155,31275.0,DTLA,LAX
156,31368.0,DTLA,LAX
157,31419.0,DTLA,LAX
158,31506.0,DTLA,LAX
159,31559.0,DTLA,LAX
160,31602.0,DTLA,LAX
161,31626.0,DTLA,LAX
162,31874.0,DTLA,LAX
163,31912.0,DTLA,LAX
164,32212.0,DTLA,LAX
165,32394.0,DTLA,LAX
166,32429.0,DTLA,LAX
167,32466.0,DTLA,LAX
168,32938.0,DTLA,LAX
169,33149.0,DTLA,LAX
170,33223.0,DTLA,LAX
171,33316.0,DTLA,LAX
172,33381.0,DTLA,LAX
