passenger_id,passenger_arrival_time,origin_vertiport_id,destination_vertiport_id
0,156.0,DTLA,LAX
1,3881.0,DTLA,LAX
2,4243.0,DTLA,LAX
3,4705.0,DTLA,LAX
4,5714.0,DTLA,LAX
5,6402.0,DTLA,LAX
6,7160.0,DTLA,LAX
7,10458.0,DTLA,LAX
8,10579.0,DTLA,LAX
9,10938.0,DTLA,LAX
10,11079.0,DTLA,LAX
11,11154.0,DTLA,LAX
12,11356.0,DTLA,LAX
13,11497.0,DTLA,LAX
14,11738.0,DTLA,LAX
15,11947.0,DTLA,LAX
16,12037.0,DTLA,LAX
17,12120.0,DTLA,LAX
18,12573.0,DTLA,LAX
19,12777.0,DTLA,LAX
20,12857.0,DTLA,LAX
21,12860.0,DTLA,LAX
22,12923.0,DTLA,LAX
23,12967.0,DTLA,LAX
24,13122.0,DTLA,LAX
25,13195.0,DTLA,LAX
26,13232.0,DTLA,LAX
27,13337.0,DTLA,LAX
28,13689.0,DTLA,LAX
29,13713.0,DTLA,LAX
30,13878.0,DTLA,LAX
31,13971.0,DTLA,LAX
32,14180.0,DTLA,LAX
33,14186.0,DTLA,LAX
34,14329.0,DTLA,LAX
35,14387.0,DTLA,LAX
36,14408.0,DTLA,LAX
37,14495.0,DTLA,LAX
38,14546.0,DTLA,LAX
39,14639.0,DTLA,LAX
40,14773.0,DTLA,LAX
41,14785.0,DTLA,LAX
42,15011.0,DTLA,LAX
43,15014.0,DTLA,LAX
44,15031.0,DTLA,LAX
45,15049.0,DTLA,LAX
46,15093.0,DTLA,LAX
47,15117.0,DTLA,LAX
48,15134.0,DTLA,LAX
49,15165.0,DTLA,LAX
50,15182.0,DTLA,LAX
51,15202.0,DTLA,LAX
52,15204.0,DTLA,LAX
53,15303.0,DTLA,LAX
54,15308.0,DTLA,LAX
55,15402.0,DTLA,LAX
56,15406.0,DTLA,LAX
57,15435.0,DTLA,LAX
58,15543.0,DTLA,LAX
59,15611.0,DTLA,LAX
60,15763.0,DTLA,LAX
61,15768.0,DTLA,LAX
62,15862.0,DTLA,LAX
63,15875.0,DTLA,LAX
64,15985.0,DTLA,LAX
65,16023.0,DTLA,LAX
66,16119.0,DTLA,LAX
67,16182.0,DTLA,LAX
68,16241.0,DTLA,LAX
69,16517.0,DTLA,LAX
70,16546.0,DTLA,LAX
71,16555.0,DTLA,LAX
72,16601.0,DTLA,LAX
73,16633.0,DTLA,LAX
74,16649.0,DTLA,LAX
75,16686.0,DTLA,LAX
76,16692.0,DTLA,LAX
77,16720.0,DTLA,LAX
78,16733.0,DTLA,LAX
79,16753.0,DTLA,LAX
80,16754.0,DTLA,LAX
81,16812.0,DTLA,LAX
82,16817.0,DTLA,LAX
83,16902.0,DTLA,LAX
84,16982.0,DTLA,LAX
85,16990.0,DTLA,LAX
86,16995.0,DTLA,LAX
87,17232.0,DTLA,LAX
88,17258.0,DTLA,LAX
89,17321.0,DTLA,LAX
90,17341.0,DTLA,LAX
91,17347.0,DTLA,LAX
92,17371.0,DTLA,LAX
93,17383.0,DTLA,LAX
94,17419.0,DTLA,LAX
95,17427.0,DTLA,LAX
96,17446.0,DTLA,LAX
97,17468.0,DTLA,LAX
98,17554.0,DTLA,LAX
99,17566.0,DTLA,LAX
100,17590.0,DTLA,LAX
101,17605.0,DTLA,LAX
102,17637.0,DTLA,LAX
103,17676.0,DTLA,LAX
104,17676.0,DTLA,LAX
105,17754.0,DTLA,LAX
106,17759.0,DTLA,LAX
107,17785.0,DTLA,LAX
108,17865.0,DTLA,LAX
109,17942.0,DTLA,LAX
110,18051.0,DTLA,LAX
111,18058.0,DTLA,LAX
112,18070.0,DTLA,LAX
113,18082.0,DTLA,LAX
114,18082.0,DTLA,LAX
115,18099.0,DTLA,LAX
116,18140.0,DTLA,LAX
117,18150.0,DTLA,LAX
118,18447.0,DTLA,LAX
119,18530.0,DTLA,LAX
120,18561.0,DTLA,LAX
121,18569.0,DTLA,LAX
122,18576.0,DTLA,LAX
123,18581.0,DTLA,LAX
124,18583.0,DTLA,LAX
125,18588.0,DTLA,LAX
