passenger_id,passenger_arrival_time,origin_vertiport_id,destination_vertiport_id
0,103.0,DTLA,LAX
1,108.0,DTLA,LAX
2,560.0,DTLA,LAX
3,593.0,DTLA,LAX
4,2561.0,DTLA,LAX
5,3702.0,DTLA,LAX
6,6374.0,DTLA,LAX
7,7190.0,DTLA,LAX
8,7646.0,DTLA,LAX
9,7700.0,DTLA,LAX
10,9925.0,DTLA,LAX
11,10253.0,DTLA,LAX
12,10533.0,DTLA,LAX
13,10822.0,DTLA,LAX
14,11227.0,DTLA,LAX
15,12211.0,DTLA,LAX
16,12754.0,DTLA,LAX
17,12989.0,DTLA,LAX
18,13404.0,DTLA,LAX
19,13440.0,DTLA,LAX
20,13993.0,DTLA,LAX
21,14017.0,DTLA,LAX
22,14026.0,DTLA,LAX
23,14177.0,DTLA,LAX
24,14389.0,DTLA,LAX
25,14567.0,DTLA,LAX
26,14680.0,DTLA,LAX
27,14865.0,DTLA,LAX
28,14962.0,DTLA,LAX
29,15026.0,DTLA,LAX
30,15133.0,DTLA,LAX
31,15273.0,DTLA,LAX
32,15459.0,DTLA,LAX
33,15513.0,DTLA,LAX
34,15615.0,DTLA,LAX
35,15749.0,DTLA,LAX
36,15754.0,DTLA,LAX
37,15822.0,DTLA,LAX
38,16049.0,DTLA,LAX
39,16294.0,DTLA,LAX
40,16605.0,DTLA,LAX
41,16612.0,DTLA,LAX
42,16624.0,DTLA,LAX
43,16757.0,DTLA,LAX
44,16816.0,DTLA,LAX
45,16881.0,DTLA,LAX
46,16953.0,DTLA,LAX
47,17657.0,DTLA,LAX
48,17733.0,DTLA,LAX
49,17904.0,DTLA,LAX
50,17907.0,DTLA,LAX
51,17978.0,DTLA,LAX
52,18012.0,DTLA,LAX
53,18048.0,DTLA,LAX
54,18415.0,DTLA,LAX
55,18509.0,DTLA,LAX
56,18579.0,DTLA,LAX
57,18579.0,DTLA,LAX
58,18609.0,DTLA,LAX
59,18787.0,DTLA,LAX
60,18848.0,DTLA,LAX
61,18882.0,DTLA,LAX
62,18899.0,DTLA,LAX
63,18979.0,DTLA,LAX
64,19054.0,DTLA,LAX
65,19136.0,DTLA,LAX
66,19170.0,DTLA,LAX
67,19184.0,DTLA,LAX
68,19349.0,DTLA,LAX
69,19408.0,DTLA,LAX
70,19541.0,DTLA,LAX
71,19579.0,DTLA,LAX
72,19619.0,DTLA,LAX
73,19623.0,DTLA,LAX
74,19634.0,DTLA,LAX
75,19677.0,DTLA,LAX
76,19897.0,DTLA,LAX
77,19950.0,DTLA,LAX
78,19954.0,DTLA,LAX
79,20020.0,DTLA,LAX
80,20170.0,DTLA,LAX
81,20191.0,DTLA,LAX
82,20267.0,DTLA,LAX
83,20320.0,DTLA,LAX
84,20419.0,DTLA,LAX
85,20445.0,DTLA,LAX
86,20529.0,DTLA,LAX
87,20577.0,DTLA,LAX
88,20855.0,DTLA,LAX
89,20866.0,DTLA,LAX
90,20879.0,DTLA,LAX
91,20960.0,DTLA,LAX
92,20997.0,DTLA,LAX
93,21108.0,DTLA,LAX
94,21164.0,DTLA,LAX
95,21220.0,DTLA,LAX
96,21293.0,DTLA,LAX
97,21363.0,DTLA,LAX
98,21436.0,DTLA,LAX
99,21446.0,DTLA,LAX
100,21454.0,DTLA,LAX
101,21478.0,DTLA,LAX
102,21480.0,DTLA,LAX
103,21501.0,DTLA,LAX
104,21544.0,DTLA,LAX
105,21596.0,DTLA,LAX
106,21635.0,DTLA,LAX
107,21853.0,DTLA,LAX
108,21920.0,DTLA,LAX
109,21925.0,DTLA,LAX
110,21949.0,DTLA,LAX
111,21958.0,DTLA,LAX
112,22327.0,DTLA,LAX
113,22397.0,DTLA,LAX
114,22500.0,DTLA,LAX
115,22692.0,DTLA,LAX
116,22941.0,DTLA,LAX
117,23048.0,DTLA,LAX
118,23052.0,DTLA,LAX
119,23113.0,DTLA,LAX
120,23293.0,DTLA,LAX
121,23375.0,DTLA,LAX
122,23441.0,DTLA,LAX
123,23461.0,DTLA,LAX
124,23521.0,DTLA,LAX
125,23537.0,DTLA,LAX
126,23604.0,DTLA,LAX
127,23605.0,DTLA,LAX
128,23704.0,DTLA,LAX
129,23761.0,DTLA,LAX
130,23846.0,DTLA,LAX
131,23980.0,DTLA,LAX
132,24179.0,DTLA,LAX
133,24396.0,DTLA,LAX
134,24399.0,DTLA,LAX
135,24436.0,DTLA,LAX
136,24442.0,DTLA,LAX
137,24641.0,DTLA,LAX
138,24669.0,DTLA,LAX
139,24686.0,DTLA,LAX
140,24742.0,DTLA,LAX
141,24770.0,DTLA,LAX
142,24799.0,DTLA,LAX
143,24811.0,DTLA,LAX
144,24844.0,DTLA,LAX
145,24936.0,DTLA,LAX
146,25060.0,DTLA,LAX
147,25284.0,DTLA,LAX
148,25338.0,DTLA,LAX
149,25400.0,DTLA,LAX
150,25416.0,DTLA,LAX
151,25570.0,DTLA,LAX
152,25651.0,DTLA,LAX
153,25697.0,DTLA,LAX
154,25723.0,DTLA,LAX
155,25797.0,DTLA,LAX
156,25806.0,DTLA,LAX
157,25886.0,DTLA,LAX
158,25960.0,DTLA,LAX
159,26028.0,DTLA,LAX
160,26076.0,DTLA,LAX
161,26076.0,DTLA,LAX
