date,hour,flight_distance,flight_time_A_B_rounded,energy_consumption_%_A_B,flight_time_B_A_rounded,energy_consumption_%_B_A
2015-01-10,0,80,30,35.0,30,35.0
2015-01-10,1,80,30,35.0,30,35.0
2015-01-10,2,80,30,35.0,30,35.0
2015-01-10,3,80,30,35.0,30,35.0
2015-01-10,4,80,30,35.0,30,35.0
2015-01-10,5,80,30,35.0,30,35.0
2015-01-10,6,80,30,35.0,30,35.0
2015-01-10,7,80,30,35.0,30,35.0
2015-01-10,8,80,30,35.0,30,35.0
2015-01-10,9,80,30,35.0,30,35.0
2015-01-10,10,80,30,35.0,30,35.0
2015-01-10,11,80,30,35.0,30,35.0
2015-01-10,12,80,30,35.0,30,35.0
2015-01-10,13,80,30,35.0,30,35.0
2015-01-10,14,80,30,35.0,30,35.0
2015-01-10,15,80,30,35.0,30,35.0
2015-01-10,16,80,30,35.0,30,35.0
2015-01-10,17,80,30,35.0,30,35.0
2015-01-10,18,80,30,35.0,30,35.0
2015-01-10,19,80,30,35.0,30,35.0
2015-01-10,20,80,30,35.0,30,35.0
2015-01-10,21,80,30,35.0,30,35.0
2015-01-10,22,80,30,35.0,30,35.0
2015-01-10,23,80,30,35.0,30,35.0
2015-05-30,0,80,30,35.0,30,35.0
2015-05-30,1,80,30,35.0,30,35.0
2015-05-30,2,80,30,35.0,30,35.0
2015-05-30,3,80,30,35.0,30,35.0
2015-05-30,4,80,30,35.0,30,35.0
2015-05-30,5,80,30,35.0,30,35.0
2015-05-30,6,80,30,35.0,30,35.0
2015-05-30,7,80,30,37.5,30,32.5
2015-05-30,8,80,30,37.5,30,32.5
2015-05-30,9,80,30,37.5,30,32.5
2015-05-30,10,80,30,37.5,30,32.5
2015-05-30,11,80,30,37.5,30,32.5
2015-05-30,12,80,30,37.5,30,32.5
2015-05-30,13,80,30,37.5,30,32.5
2015-05-30,14,80,30,37.5,30,32.5
2015-05-30,15,80,30,37.5,30,32.5
2015-05-30,16,80,30,37.5,30,32.5
2015-05-30,17,80,30,37.5,30,32.5
2015-05-30,18,80,35,37.5,30,32.5
2015-05-30,19,80,35,37.5,30,32.5
2015-05-30,20,80,35,37.5,30,32.5
2015-05-30,21,80,35,37.5,30,32.5
2015-05-30,22,80,35,37.5,30,32.5
2015-05-30,23,80,35,37.5,30,32.5
2016-06-05,0,80,35,40.0,25,32.5
2016-06-05,1,80,35,40.0,25,32.5
2016-06-05,2,80,35,40.0,25,32.5
2016-06-05,3,80,35,40.0,25,32.5
2016-06-05,4,80,35,40.0,25,32.5
2016-06-05,5,80,35,40.0,25,32.5
2016-06-05,6,80,35,40.0,25,32.5
2016-06-05,7,80,35,40.0,25,32.5
2016-06-05,8,80,35,40.0,25,32.5
2016-06-05,9,80,35,37.5,30,32.5
2016-06-05,10,80,35,37.5,30,32.5
2016-06-05,11,80,35,37.5,30,32.5
2016-06-05,12,80,30,37.5,30,32.5
2016-06-05,13,80,30,35.0,30,32.5
2016-06-05,14,80,30,35.0,30,35.0
2016-06-05,15,80,30,35.0,30,35.0
2016-06-05,16,80,30,35.0,30,35.0
2016-06-05,17,80,30,35.0,30,35.0
2016-06-05,18,80,30,35.0,30,35.0
2016-06-05,19,80,30,35.0,30,35.0
2016-06-05,20,80,30,32.5,30,37.5
2016-06-05,21,80,30,35.0,30,35.0
2016-06-05,22,80,30,35.0,30,35.0
2016-06-05,23,80,30,35.0,30,35.0
2018-11-05,0,80,25,32.5,35,40.0
2018-11-05,1,80,25,32.5,35,40.0
2018-11-05,2,80,25,32.5,35,40.0
2018-11-05,3,80,25,32.5,35,40.0
2018-11-05,4,80,25,32.5,35,40.0
2018-11-05,5,80,25,32.5,35,40.0
2018-11-05,6,80,25,32.5,35,40.0
2018-11-05,7,80,25,32.5,35,40.0
2018-11-05,8,80,25,32.5,35,40.0
2018-11-05,9,80,25,32.5,35,40.0
2018-11-05,10,80,25,32.5,35,40.0
2018-11-05,11,80,25,32.5,35,40.0
2018-11-05,12,80,25,32.5,35,40.0
2018-11-05,13,80,25,32.5,35,40.0
2018-11-05,14,80,25,32.5,35,40.0
2018-11-05,15,80,25,32.5,35,40.0
2018-11-05,16,80,25,32.5,35,40.0
2018-11-05,17,80,25,32.5,35,40.0
2018-11-05,18,80,25,32.5,35,40.0
2018-11-05,19,80,25,32.5,35,40.0
2018-11-05,20,80,25,32.5,35,40.0
2018-11-05,21,80,25,32.5,35,40.0
2018-11-05,22,80,25,32.5,35,40.0
