passenger_id,passenger_arrival_time,origin_vertiport_id,destination_vertiport_id
0,678.0,DTLA,LAX
1,2224.0,DTLA,LAX
2,5294.0,DTLA,LAX
3,7092.0,DTLA,LAX
4,9706.0,DTLA,LAX
5,10588.0,DTLA,LAX
6,11121.0,DTLA,LAX
7,11766.0,DTLA,LAX
8,11940.0,DTLA,LAX
9,12254.0,DTLA,LAX
10,12411.0,DTLA,LAX
11,12796.0,DTLA,LAX
12,13992.0,DTLA,LAX
13,14146.0,DTLA,LAX
14,14436.0,DTLA,LAX
15,14548.0,DTLA,LAX
16,14785.0,DTLA,LAX
17,14889.0,DTLA,LAX
18,15297.0,DTLA,LAX
19,15489.0,DTLA,LAX
20,15559.0,DTLA,LAX
21,15736.0,DTLA,LAX
22,15758.0,DTLA,LAX
23,15772.0,DTLA,LAX
24,15773.0,DTLA,LAX
25,15801.0,DTLA,LAX
26,15857.0,DTLA,LAX
27,15970.0,DTLA,LAX
28,16185.0,DTLA,LAX
29,16610.0,DTLA,LAX
30,16884.0,DTLA,LAX
31,17000.0,DTLA,LAX
32,17267.0,DTLA,LAX
33,17469.0,DTLA,LAX
34,17474.0,DTLA,LAX
35,17562.0,DTLA,LAX
36,17716.0,DTLA,LAX
37,17865.0,DTLA,LAX
38,18005.0,DTLA,LAX
39,18148.0,DTLA,LAX
40,18348.0,DTLA,LAX
41,18523.0,DTLA,LAX
42,18632.0,DTLA,LAX
43,18746.0,DTLA,LAX
44,18764.0,DTLA,LAX
45,18917.0,DTLA,LAX
46,19040.0,DTLA,LAX
47,19057.0,DTLA,LAX
48,19105.0,DTLA,LAX
49,19503.0,DTLA,LAX
50,19609.0,DTLA,LAX
51,19989.0,DTLA,LAX
52,20046.0,DTLA,LAX
53,20255.0,DTLA,LAX
54,20351.0,DTLA,LAX
55,20351.0,DTLA,LAX
56,20693.0,DTLA,LAX
57,20827.0,DTLA,LAX
58,20860.0,DTLA,LAX
59,21404.0,DTLA,LAX
60,21540.0,DTLA,LAX
61,21575.0,DTLA,LAX
62,21668.0,DTLA,LAX
63,21808.0,DTLA,LAX
64,22028.0,DTLA,LAX
65,22552.0,DTLA,LAX
66,22633.0,DTLA,LAX
67,22840.0,DTLA,LAX
68,22928.0,DTLA,LAX
69,23221.0,DTLA,LAX
70,23223.0,DTLA,LAX
71,23231.0,DTLA,LAX
72,23309.0,DTLA,LAX
73,23319.0,DTLA,LAX
74,23529.0,DTLA,LAX
75,23839.0,DTLA,LAX
76,24082.0,DTLA,LAX
77,24133.0,DTLA,LAX
78,24145.0,DTLA,LAX
79,24195.0,DTLA,LAX
80,24595.0,DTLA,LAX
81,24659.0,DTLA,LAX
82,24678.0,DTLA,LAX
83,24703.0,DTLA,LAX
84,24859.0,DTLA,LAX
85,24990.0,DTLA,LAX
86,25118.0,DTLA,LAX
87,25176.0,DTLA,LAX
88,25184.0,DTLA,LAX
89,25411.0,DTLA,LAX
90,25479.0,DTLA,LAX
91,25516.0,DTLA,LAX
92,25610.0,DTLA,LAX
93,25740.0,DTLA,LAX
94,25800.0,DTLA,LAX
95,25858.0,DTLA,LAX
96,25915.0,DTLA,LAX
97,26040.0,DTLA,LAX
98,26043.0,DTLA,LAX
99,26203.0,DTLA,LAX
100,26226.0,DTLA,LAX
101,26400.0,DTLA,LAX
102,26548.0,DTLA,LAX
103,26825.0,DTLA,LAX
104,26851.0,DTLA,LAX
105,27035.0,DTLA,LAX
106,27248.0,DTLA,LAX
107,27434.0,DTLA,LAX
108,27453.0,DTLA,LAX
109,27787.0,DTLA,LAX
110,27801.0,DTLA,LAX
111,27849.0,DTLA,LAX
112,28320.0,DTLA,LAX
113,28329.0,DTLA,LAX
114,28419.0,DTLA,LAX
115,28471.0,DTLA,LAX
116,28719.0,DTLA,LAX
117,28819.0,DTLA,LAX
118,28932.0,DTLA,LAX
119,28956.0,DTLA,LAX
120,28996.0,DTLA,LAX
121,29147.0,DTLA,LAX
122,29460.0,DTLA,LAX
123,29550.0,DTLA,LAX
124,29620.0,DTLA,LAX
125,29663.0,DTLA,LAX
126,29997.0,DTLA,LAX
127,30121.0,DTLA,LAX
128,30193.0,DTLA,LAX
129,30538.0,DTLA,LAX
130,30595.0,DTLA,LAX
131,30770.0,DTLA,LAX
132,30949.0,DTLA,LAX
133,30954.0,DTLA,LAX
134,31076.0,DTLA,LAX
135,31092.0,DTLA,LAX
136,31202.0,DTLA,LAX
137,31254.0,DTLA,LAX
138,31281.0,DTLA,LAX
139,31290.0,DTLA,LAX
140,31455.0,DTLA,LAX
141,31546.0,DTLA,LAX
142,31673.0,DTLA,LAX
143,31675.0,DTLA,LAX
144,31750.0,DTLA,LAX
145,31758.0,DTLA,LAX
146,32065.0,DTLA,LAX
147,32224.0,DTLA,LAX
148,32321.0,DTLA,LAX
149,32356.0,DTLA,LAX
150,32414.0,DTLA,LAX
151,32422.0,DTLA,LAX
152,32460.0,DTLA,LAX
153,32900.0,DTLA,LAX
154,32936.0,DTLA,LAX
155,33171.0,DTLA,LAX
156,33173.0,DTLA,LAX
157,33283.0,DTLA,LAX
158,33635.0,DTLA,LAX
159,33738.0,DTLA,LAX
160,33743.0,DTLA,LAX
161,33821.0,DTLA,LAX
162,33870.0,DTLA,LAX
163,33925.0,DTLA,LAX
164,33925.0,DTLA,LAX
