passenger_id,passenger_arrival_time,origin_vertiport_id,destination_vertiport_id
0,739.0,ANH,LAX
1,4170.0,ANH,LAX
2,4349.0,HWD,LAX
3,4930.0,HWD,LAX
4,9030.0,HWD,LAX
5,9499.0,ANH,LAX
6,9676.0,HWD,LAX
7,9874.0,DTLA,LAX
8,11003.0,ANH,LAX
9,11781.0,ANH,LAX
10,11893.0,HWD,LAX
11,12355.0,ANH,LAX
12,12542.0,LGB,LAX
13,12611.0,DTLA,LAX
14,12697.0,DTLA,LAX
15,12900.0,LGB,LAX
16,12983.0,LGB,LAX
17,13060.0,DTLA,LAX
18,13166.0,HWD,LAX
19,13188.0,DTLA,LAX
20,13247.0,DTLA,LAX
21,13439.0,DTLA,LAX
22,13448.0,DTLA,LAX
23,13512.0,LGB,LAX
24,13555.0,ANH,LAX
25,13569.0,HWD,LAX
26,13742.0,ANH,LAX
27,13825.0,DTLA,LAX
28,14312.0,ANH,LAX
29,14547.0,DTLA,LAX
30,14618.0,DTLA,LAX
31,14665.0,DTLA,LAX
32,14752.0,LGB,LAX
33,14809.0,ANH,LAX
34,14884.0,ANH,LAX
35,14892.0,DTLA,LAX
36,15187.0,DTLA,LAX
37,15303.0,ANH,LAX
38,15368.0,HWD,LAX
39,15520.0,LGB,LAX
40,15609.0,DTLA,LAX
41,15651.0,LGB,LAX
42,15687.0,DTLA,LAX
43,15700.0,HWD,LAX
44,15890.0,LGB,LAX
45,15926.0,HWD,LAX
46,15967.0,ANH,LAX
47,16212.0,HWD,LAX
48,16480.0,LGB,LAX
49,16716.0,DTLA,LAX
50,16983.0,DTLA,LAX
51,17089.0,ANH,LAX
52,17209.0,DTLA,LAX
53,17227.0,HWD,LAX
54,17340.0,LGB,LAX
55,17542.0,HWD,LAX
56,17698.0,DTLA,LAX
57,18028.0,DTLA,LAX
58,18534.0,LGB,LAX
59,18579.0,ANH,LAX
60,18661.0,HWD,LAX
61,18680.0,DTLA,LAX
62,18819.0,ANH,LAX
63,18834.0,HWD,LAX
64,18864.0,ANH,LAX
65,18900.0,DTLA,LAX
66,18992.0,ANH,LAX
67,18995.0,DTLA,LAX
68,19056.0,HWD,LAX
69,19185.0,DTLA,LAX
70,19199.0,ANH,LAX
71,19584.0,HWD,LAX
72,19697.0,LGB,LAX
73,19776.0,ANH,LAX
74,19845.0,DTLA,LAX
75,19863.0,HWD,LAX
76,19912.0,LGB,LAX
77,19979.0,DTLA,LAX
78,20296.0,ANH,LAX
79,20393.0,HWD,LAX
80,20551.0,HWD,LAX
81,20600.0,HWD,LAX
82,20641.0,LGB,LAX
83,20667.0,ANH,LAX
84,20766.0,HWD,LAX
85,20871.0,HWD,LAX
86,20889.0,HWD,LAX
87,20920.0,HWD,LAX
88,21171.0,DTLA,LAX
89,21324.0,ANH,LAX
90,21328.0,ANH,LAX
91,21332.0,LGB,LAX
92,21443.0,DTLA,LAX
93,21514.0,LGB,LAX
94,21580.0,ANH,LAX
95,21588.0,HWD,LAX
96,21611.0,ANH,LAX
97,21615.0,LGB,LAX
98,21625.0,DTLA,LAX
99,21649.0,DTLA,LAX
100,21668.0,HWD,LAX
101,21690.0,DTLA,LAX
102,21700.0,HWD,LAX
103,21751.0,LGB,LAX
104,21779.0,ANH,LAX
105,21826.0,ANH,LAX
106,21886.0,HWD,LAX
107,21888.0,HWD,LAX
108,21912.0,ANH,LAX
109,22019.0,DTLA,LAX
110,22061.0,LGB,LAX
111,22123.0,LGB,LAX
112,22158.0,DTLA,LAX
113,22203.0,ANH,LAX
114,22258.0,ANH,LAX
115,22388.0,LGB,LAX
116,22408.0,DTLA,LAX
117,22432.0,ANH,LAX
118,22462.0,ANH,LAX
119,22512.0,ANH,LAX
120,22535.0,ANH,LAX
121,22537.0,ANH,LAX
122,22545.0,LGB,LAX
123,22578.0,ANH,LAX
124,22621.0,DTLA,LAX
125,22659.0,LGB,LAX
126,22768.0,LGB,LAX
127,22769.0,ANH,LAX
128,22944.0,DTLA,LAX
129,23070.0,DTLA,LAX
130,23258.0,HWD,LAX
131,23310.0,LGB,LAX
132,23380.0,DTLA,LAX
133,23430.0,ANH,LAX
134,23436.0,DTLA,LAX
135,23493.0,LGB,LAX
136,23535.0,ANH,LAX
137,23554.0,LGB,LAX
138,23687.0,LGB,LAX
139,23695.0,DTLA,LAX
140,23802.0,DTLA,LAX
141,23856.0,DTLA,LAX
142,23873.0,DTLA,LAX
143,23881.0,DTLA,LAX
144,23953.0,DTLA,LAX
145,23998.0,DTLA,LAX
146,24005.0,ANH,LAX
147,24025.0,HWD,LAX
148,24080.0,HWD,LAX
149,24226.0,HWD,LAX
150,24301.0,HWD,LAX
151,24426.0,HWD,LAX
152,24444.0,LGB,LAX
153,24453.0,DTLA,LAX
154,24636.0,HWD,LAX
155,24661.0,HWD,LAX
156,24733.0,ANH,LAX
157,24837.0,ANH,LAX
158,24945.0,ANH,LAX
159,25027.0,LGB,LAX
160,25058.0,HWD,LAX
161,25092.0,DTLA,LAX
162,25144.0,DTLA,LAX
163,25149.0,DTLA,LAX
164,25168.0,DTLA,LAX
165,25207.0,DTLA,LAX
166,25228.0,LGB,LAX
167,25256.0,ANH,LAX
168,25324.0,ANH,LAX
169,25393.0,HWD,LAX
170,25436.0,DTLA,LAX
171,25536.0,LGB,LAX
172,25553.0,DTLA,LAX
173,25658.0,DTLA,LAX
174,25677.0,HWD,LAX
175,25824.0,DTLA,LAX
176,25836.0,HWD,LAX
177,25903.0,DTLA,LAX
178,25945.0,LGB,LAX
179,26028.0,HWD,LAX
180,26160.0,LGB,LAX
181,26168.0,DTLA,LAX
182,26232.0,DTLA,LAX
183,26292.0,HWD,LAX
184,26477.0,LGB,LAX
185,26719.0,DTLA,LAX
186,26742.0,DTLA,LAX
187,26785.0,LGB,LAX
188,26837.0,DTLA,LAX
189,27035.0,HWD,LAX
190,27093.0,LGB,LAX
191,27108.0,LGB,LAX
192,27222.0,DTLA,LAX
193,27242.0,ANH,LAX
194,27263.0,ANH,LAX
195,27271.0,ANH,LAX
196,27276.0,LGB,LAX
197,27317.0,DTLA,LAX
198,27323.0,ANH,LAX
199,27374.0,HWD,LAX
200,27438.0,LGB,LAX
201,27468.0,DTLA,LAX
202,27473.0,DTLA,LAX
203,27499.0,DTLA,LAX
204,27509.0,ANH,LAX
205,27532.0,HWD,LAX
206,27584.0,HWD,LAX
207,27630.0,HWD,LAX
208,27700.0,LGB,LAX
209,27738.0,HWD,LAX
210,27861.0,HWD,LAX
211,27972.0,DTLA,LAX
212,28025.0,LGB,LAX
213,28028.0,HWD,LAX
214,28070.0,DTLA,LAX
215,28103.0,HWD,LAX
216,28142.0,DTLA,LAX
217,28205.0,DTLA,LAX
218,28206.0,HWD,LAX
219,28224.0,LGB,LAX
220,28237.0,LGB,LAX
221,28267.0,ANH,LAX
222,28281.0,DTLA,LAX
223,28351.0,HWD,LAX
224,28362.0,DTLA,LAX
225,28369.0,HWD,LAX
226,28419.0,HWD,LAX
227,28450.0,ANH,LAX
228,28526.0,LGB,LAX
229,28561.0,HWD,LAX
230,28648.0,DTLA,LAX
231,28651.0,LGB,LAX
232,28682.0,HWD,LAX
233,28786.0,ANH,LAX
234,28859.0,LGB,LAX
235,28939.0,HWD,LAX
236,29160.0,HWD,LAX
237,29260.0,LGB,LAX
238,29303.0,HWD,LAX
239,29338.0,ANH,LAX
240,29501.0,ANH,LAX
241,29548.0,DTLA,LAX
242,29562.0,ANH,LAX
243,29771.0,ANH,LAX
244,29848.0,ANH,LAX
245,29891.0,ANH,LAX
246,29917.0,ANH,LAX
247,30106.0,DTLA,LAX
248,30177.0,ANH,LAX
249,30244.0,HWD,LAX
250,30269.0,LGB,LAX
251,30327.0,DTLA,LAX
252,30388.0,ANH,LAX
253,30398.0,HWD,LAX
254,30465.0,ANH,LAX
255,30577.0,HWD,LAX
256,30578.0,HWD,LAX
257,30609.0,DTLA,LAX
258,30644.0,HWD,LAX
259,30686.0,HWD,LAX
260,30691.0,ANH,LAX
261,30712.0,ANH,LAX
262,30785.0,DTLA,LAX
263,30812.0,HWD,LAX
264,30813.0,HWD,LAX
265,30840.0,HWD,LAX
266,30890.0,DTLA,LAX
267,30928.0,HWD,LAX
268,30972.0,DTLA,LAX
269,31013.0,LGB,LAX
270,31107.0,LGB,LAX
271,31123.0,ANH,LAX
272,31137.0,DTLA,LAX
273,31166.0,DTLA,LAX
274,31200.0,LGB,LAX
275,31271.0,HWD,LAX
276,31317.0,DTLA,LAX
277,31323.0,ANH,LAX
278,31336.0,HWD,LAX
279,31347.0,DTLA,LAX
280,31401.0,LGB,LAX
281,31442.0,LGB,LAX
282,31464.0,ANH,LAX
283,31533.0,DTLA,LAX
284,31659.0,LGB,LAX
285,31666.0,HWD,LAX
286,31712.0,ANH,LAX
287,31766.0,ANH,LAX
288,31791.0,HWD,LAX
289,31835.0,DTLA,LAX
290,31846.0,ANH,LAX
291,31860.0,HWD,LAX
292,31911.0,HWD,LAX
293,32029.0,LGB,LAX
294,32045.0,ANH,LAX
295,32067.0,HWD,LAX
296,32099.0,DTLA,LAX
297,32125.0,LGB,LAX
298,32139.0,DTLA,LAX
299,32197.0,LGB,LAX
300,32273.0,LGB,LAX
301,32310.0,ANH,LAX
302,32359.0,HWD,LAX
303,32596.0,HWD,LAX
304,32613.0,ANH,LAX
305,32647.0,ANH,LAX
306,32654.0,HWD,LAX
307,32674.0,DTLA,LAX
308,32679.0,DTLA,LAX
309,32772.0,HWD,LAX
310,32779.0,ANH,LAX
311,32850.0,ANH,LAX
312,32857.0,ANH,LAX
313,32916.0,ANH,LAX
314,32935.0,ANH,LAX
315,32973.0,ANH,LAX
316,33074.0,HWD,LAX
317,33149.0,ANH,LAX
318,33158.0,DTLA,LAX
319,33240.0,ANH,LAX
320,33268.0,HWD,LAX
321,33318.0,DTLA,LAX
322,33321.0,DTLA,LAX
323,33336.0,HWD,LAX
324,33339.0,DTLA,LAX
325,33344.0,HWD,LAX
326,33345.0,DTLA,LAX
327,33485.0,LGB,LAX
328,33516.0,LGB,LAX
329,33576.0,HWD,LAX
330,33597.0,ANH,LAX
331,33679.0,DTLA,LAX
332,33826.0,HWD,LAX
333,33900.0,HWD,LAX
334,33973.0,ANH,LAX
335,33976.0,ANH,LAX
336,33986.0,HWD,LAX
337,34013.0,LGB,LAX
338,34114.0,DTLA,LAX
339,34119.0,ANH,LAX
340,34177.0,DTLA,LAX
341,34310.0,LGB,LAX
342,34368.0,ANH,LAX
343,34408.0,DTLA,LAX
344,34498.0,DTLA,LAX
345,34599.0,DTLA,LAX
346,34617.0,ANH,LAX
347,34668.0,DTLA,LAX
348,34765.0,HWD,LAX
349,34779.0,ANH,LAX
350,34807.0,DTLA,LAX
351,34819.0,ANH,LAX
352,34832.0,DTLA,LAX
353,34862.0,DTLA,LAX
354,34867.0,DTLA,LAX
355,34924.0,HWD,LAX
356,34998.0,DTLA,LAX
357,34999.0,DTLA,LAX
358,35037.0,HWD,LAX
359,35121.0,DTLA,LAX
360,35134.0,HWD,LAX
361,35156.0,DTLA,LAX
362,35182.0,HWD,LAX
363,35192.0,ANH,LAX
364,35208.0,HWD,LAX
365,35214.0,ANH,LAX
366,35216.0,DTLA,LAX
367,35265.0,ANH,LAX
368,35266.0,ANH,LAX
369,35268.0,ANH,LAX
370,35336.0,LGB,LAX
371,35405.0,DTLA,LAX
372,35411.0,HWD,LAX
373,35446.0,DTLA,LAX
374,35462.0,HWD,LAX
375,35467.0,DTLA,LAX
376,35479.0,LGB,LAX
