schedule,od
0,LAX_DTLA
5,LAX_DTLA
10,LAX_DTLA
15,LAX_DTLA
20,LAX_DTLA
25,LAX_DTLA
30,LAX_DTLA
35,LAX_DTLA
40,LAX_DTLA
45,LAX_DTLA
50,LAX_DTLA
55,LAX_DTLA
60,LAX_DTLA
69,LAX_DTLA
77,LAX_DTLA
86,LAX_DTLA
94,LAX_DTLA
103,LAX_DTLA
111,LAX_DTLA
120,LAX_DTLA
130,LAX_DTLA
140,LAX_DTLA
150,LAX_DTLA
160,LAX_DTLA
170,LAX_DTLA
180,LAX_DTLA
195,LAX_DTLA
210,LAX_DTLA
225,LAX_DTLA
240,LAX_DTLA
255,LAX_DTLA
270,LAX_DTLA
285,LAX_DTLA
300,LAX_DTLA
310,LAX_DTLA
320,LAX_DTLA
330,LAX_DTLA
340,LAX_DTLA
350,LAX_DTLA
360,LAX_DTLA
370,LAX_DTLA
380,LAX_DTLA
390,LAX_DTLA
400,LAX_DTLA
410,LAX_DTLA
420,LAX_DTLA
424,LAX_DTLA
428,LAX_DTLA
432,LAX_DTLA
436,LAX_DTLA
440,LAX_DTLA
444,LAX_DTLA
448,LAX_DTLA
452,LAX_DTLA
456,LAX_DTLA
460,LAX_DTLA
464,LAX_DTLA
468,LAX_DTLA
472,LAX_DTLA
476,LAX_DTLA
480,LAX_DTLA
485,LAX_DTLA
489,LAX_DTLA
494,LAX_DTLA
498,LAX_DTLA
503,LAX_DTLA
508,LAX_DTLA
512,LAX_DTLA
517,LAX_DTLA
522,LAX_DTLA
526,LAX_DTLA
531,LAX_DTLA
535,LAX_DTLA
540,LAX_DTLA
543,LAX_DTLA
545,LAX_DTLA
548,LAX_DTLA
551,LAX_DTLA
554,LAX_DTLA
556,LAX_DTLA
559,LAX_DTLA
562,LAX_DTLA
565,LAX_DTLA
567,LAX_DTLA
570,LAX_DTLA
573,LAX_DTLA
575,LAX_DTLA
578,LAX_DTLA
581,LAX_DTLA
584,LAX_DTLA
586,LAX_DTLA
589,LAX_DTLA
592,LAX_DTLA
595,LAX_DTLA
597,LAX_DTLA
600,LAX_DTLA
603,LAX_DTLA
606,LAX_DTLA
609,LAX_DTLA
613,LAX_DTLA
616,LAX_DTLA
619,LAX_DTLA
622,LAX_DTLA
625,LAX_DTLA
628,LAX_DTLA
632,LAX_DTLA
635,LAX_DTLA
638,LAX_DTLA
641,LAX_DTLA
644,LAX_DTLA
647,LAX_DTLA
651,LAX_DTLA
654,LAX_DTLA
657,LAX_DTLA
660,LAX_DTLA
663,LAX_DTLA
666,LAX_DTLA
669,LAX_DTLA
671,LAX_DTLA
674,LAX_DTLA
677,LAX_DTLA
680,LAX_DTLA
683,LAX_DTLA
686,LAX_DTLA
689,LAX_DTLA
691,LAX_DTLA
694,LAX_DTLA
697,LAX_DTLA
700,LAX_DTLA
703,LAX_DTLA
706,LAX_DTLA
709,LAX_DTLA
711,LAX_DTLA
714,LAX_DTLA
717,LAX_DTLA
720,LAX_DTLA
724,LAX_DTLA
728,LAX_DTLA
732,LAX_DTLA
736,LAX_DTLA
740,LAX_DTLA
744,LAX_DTLA
748,LAX_DTLA
752,LAX_DTLA
756,LAX_DTLA
760,LAX_DTLA
764,LAX_DTLA
768,LAX_DTLA
772,LAX_DTLA
776,LAX_DTLA
780,LAX_DTLA
783,LAX_DTLA
786,LAX_DTLA
789,LAX_DTLA
791,LAX_DTLA
794,LAX_DTLA
797,LAX_DTLA
800,LAX_DTLA
803,LAX_DTLA
806,LAX_DTLA
809,LAX_DTLA
811,LAX_DTLA
814,LAX_DTLA
817,LAX_DTLA
820,LAX_DTLA
823,LAX_DTLA
826,LAX_DTLA
829,LAX_DTLA
