hour,windspeed,winddir,flight_distance,flight_time,energy_consumption,flight_direction,percentile,flight_time_rounded,energy_consumption_%
0,4,270,20,10.097689519796333,21.78138185880769,A-B,50.0,10,15.0
1,3,270,20,10.097275016408815,21.780733359546318,A-B,50.0,10,15.0
2,3,270,20,10.097275016408815,21.780733359546318,A-B,50.0,10,15.0
3,3,270,20,10.097275016408815,21.780733359546318,A-B,50.0,10,15.0
4,3,225,20,10.142327708152457,21.855943420993512,A-B,50.0,10,15.0
5,3,225,20,10.142327708152457,21.855943420993512,A-B,50.0,10,15.0
6,3,225,20,10.142327708152457,21.855943420993512,A-B,50.0,10,15.0
7,3,180,20,10.161145257318069,21.888799031257655,A-B,50.0,10,15.0
8,3,180,20,10.161145257318069,21.888799031257655,A-B,50.0,10,15.0
9,3,135,20,10.142327830188592,21.85594363141179,A-B,50.0,10,15.0
10,4,180,20,10.183105532415482,21.92817198543033,A-B,50.0,10,15.0
11,5,225,20,10.173644636612831,21.911113730591673,A-B,50.0,10,15.0
12,6,270,20,10.09887460681814,21.783241981730406,A-B,50.0,10,15.0
13,8,270,20,10.100535644846405,21.785864114564767,A-B,50.0,10,15.0
14,9,270,20,10.101545214480534,21.787466305731762,A-B,50.0,10,15.0
15,10,270,20,10.102674523149094,21.789266067106624,A-B,50.0,10,15.0
16,11,270,20,10.10392389300047,21.79126639815569,A-B,50.0,10,15.0
17,10,270,20,10.102674523149094,21.789266067106624,A-B,50.0,10,15.0
18,10,270,20,10.102674523149094,21.789266067106624,A-B,50.0,10,15.0
19,9,270,20,10.101545214480534,21.787466305731762,A-B,50.0,10,15.0
20,7,270,20,10.099645526690015,21.7844568008991,A-B,50.0,10,15.0
21,6,270,20,10.09887460681814,21.783241981730406,A-B,50.0,10,15.0
22,5,270,20,10.098222666200446,21.78221758638276,A-B,50.0,10,15.0
23,4,270,20,10.097689519796333,21.78138185880769,A-B,50.0,10,15.0
0,4,90,20,10.097689747254213,21.781382225972138,B-A,50.0,10,15.0
1,3,90,20,10.097275186964655,21.78073363457113,B-A,50.0,10,15.0
2,3,90,20,10.097275186964655,21.78073363457113,B-A,50.0,10,15.0
3,3,90,20,10.097275186964655,21.78073363457113,B-A,50.0,10,15.0
4,3,45,20,10.052755400019137,21.71163566822997,B-A,50.0,10,15.0
5,3,45,20,10.052755400019137,21.71163566822997,B-A,50.0,10,15.0
6,3,45,20,10.052755400019137,21.71163566822997,B-A,50.0,10,15.0
7,3,0,20,10.034470755411316,21.684900275484445,B-A,50.0,10,15.0
8,3,0,20,10.034470755411316,21.684900275484445,B-A,50.0,10,15.0
9,3,45,20,10.052755400019137,21.71163566822997,B-A,50.0,10,15.0
10,4,0,20,10.014168990645516,21.656341742595796,B-A,50.0,10,15.0
11,5,45,20,10.024282268712263,21.670286056827837,B-A,50.0,10,15.0
12,6,90,20,10.09887494821983,21.783242534465558,B-A,50.0,10,15.0
13,8,90,20,10.100536100450357,21.785864855246682,B-A,50.0,10,15.0
14,9,90,20,10.101545727309746,21.787467141520878,B-A,50.0,10,15.0
15,10,90,20,10.102675093300931,21.78926699888668,B-A,50.0,10,15.0
16,11,90,20,10.103924520583329,21.791267426905137,B-A,50.0,10,15.0
17,10,90,20,10.102675093300931,21.78926699888668,B-A,50.0,10,15.0
18,10,90,20,10.102675093300931,21.78926699888668,B-A,50.0,10,15.0
19,9,90,20,10.101545727309746,21.787467141520878,B-A,50.0,10,15.0
20,7,90,20,10.099645925155102,21.78445744726188,B-A,50.0,10,15.0
21,6,90,20,10.09887494821983,21.783242534465558,B-A,50.0,10,15.0
22,5,90,20,10.098222950603345,21.78221804608446,B-A,50.0,10,15.0
23,4,90,20,10.097689747254213,21.781382225972138,B-A,50.0,10,15.0
0,4,270,20,10.097689519796333,21.78138185880769,A-B,60.0,10,15.0
1,4,270,20,10.097689519796333,21.78138185880769,A-B,60.0,10,15.0
2,4,270,20,10.097689519796333,21.78138185880769,A-B,60.0,10,15.0
3,4,270,20,10.097689519796333,21.78138185880769,A-B,60.0,10,15.0
4,4,270,20,10.097689519796333,21.78138185880769,A-B,60.0,10,15.0
5,4,270,20,10.097689519796333,21.78138185880769,A-B,60.0,10,15.0
6,3,270,20,10.097275016408815,21.780733359546318,A-B,60.0,10,15.0
7,4,270,20,10.097689519796333,21.78138185880769,A-B,60.0,10,15.0
8,4,225,20,10.157891490791854,21.883073294826083,A-B,60.0,10,15.0
9,4,225,20,10.157891490791854,21.883073294826083,A-B,60.0,10,15.0
10,5,225,20,10.173644636612831,21.911113730591673,A-B,60.0,10,15.0
11,6,270,20,10.09887460681814,21.783241981730406,A-B,60.0,10,15.0
12,7,270,20,10.099645526690015,21.7844568008991,A-B,60.0,10,15.0
13,9,270,20,10.101545214480534,21.787466305731762,A-B,60.0,10,15.0
14,10,315,20,9.955930775450824,21.58075532790519,A-B,60.0,10,15.0
15,11,315,20,9.942726791123537,21.56512021194971,A-B,60.0,10,15.0
16,12,270,20,10.105293681031,21.793470601858935,A-B,60.0,10,15.0
17,12,270,20,10.105293681031,21.793470601858935,A-B,60.0,10,15.0
18,11,270,20,10.10392389300047,21.79126639815569,A-B,60.0,10,15.0
19,10,270,20,10.102674523149094,21.789266067106624,A-B,60.0,10,15.0
20,9,270,20,10.101545214480534,21.787466305731762,A-B,60.0,10,15.0
21,7,315,20,9.996465907916942,21.632150791407145,A-B,60.0,10,15.0
22,6,315,20,10.010293110434962,21.650822665184343,A-B,60.0,10,15.0
23,5,315,20,10.024282071597593,21.670285779954312,A-B,60.0,10,15.0
0,4,90,20,10.097689747254213,21.781382225972138,B-A,60.0,10,15.0
1,4,90,20,10.097689747254213,21.781382225972138,B-A,60.0,10,15.0
2,4,90,20,10.097689747254213,21.781382225972138,B-A,60.0,10,15.0
