vertiport_id,init_soc,target_soc,charging_start_time,process,location,charging_start_time_datetime
LAX,25.0,27.5,0,CHARGING,LAX_PARK11,00:00:00
DTLA,27.5,27.5,0,PARKING,DTLA_PARK11,00:00:00
DTLA,25.0,25.0,0,PARKING,DTLA_PARK12,00:00:00
DTLA,25.0,25.0,0,PARKING,DTLA_PARK13,00:00:00
LAX,57.5,57.5,0,PARKING,LAX_PARK12,00:00:00
LAX,52.5,52.5,0,PARKING,LAX_PARK13,00:00:00
DTLA,27.5,27.5,0,PARKING,DTLA_PARK14,00:00:00
DTLA,45.0,45.0,0,PARKING,DTLA_PARK15,00:00:00
DTLA,35.0,37.5,0,CHARGING,DTLA_PARK16,00:00:00
DTLA,35.0,37.5,0,CHARGING,DTLA_PARK17,00:00:00
LAX,57.5,60.0,0,CHARGING,LAX_PARK14,00:00:00
LAX,47.5,52.5,0,CHARGING,LAX_PARK15,00:00:00
LAX,32.5,50.0,0,CHARGING,LAX_PARK16,00:00:00
LAX,57.5,60.0,300,CHARGING,,00:05:00
DTLA,27.5,30.0,300,CHARGING,,00:05:00
LAX,27.5,47.5,900,CHARGING,,00:15:00
DTLA,47.5,50.0,900,CHARGING,,00:15:00
LAX,40.0,42.5,900,CHARGING,,00:15:00
LAX,32.5,37.5,900,CHARGING,,00:15:00
LAX,42.5,55.0,1500,CHARGING,,00:25:00
LAX,32.5,42.5,1800,CHARGING,,00:30:00
LAX,22.5,25.0,1800,CHARGING,,00:30:00
DTLA,20.0,25.0,2400,CHARGING,,00:40:00
LAX,47.5,50.0,2400,CHARGING,,00:40:00
DTLA,47.5,57.5,2700,CHARGING,,00:45:00
DTLA,20.0,22.5,2700,CHARGING,,00:45:00
LAX,42.5,45.0,2700,CHARGING,,00:45:00
DTLA,22.5,32.5,3300,CHARGING,,00:55:00
LAX,20.0,25.0,3600,CHARGING,,01:00:00
LAX,40.0,42.5,3600,CHARGING,,01:00:00
LAX,20.0,25.0,3600,CHARGING,,01:00:00
LAX,42.5,57.5,3900,CHARGING,,01:05:00
DTLA,50.0,60.0,3900,CHARGING,,01:05:00
LAX,50.0,52.5,4200,CHARGING,,01:10:00
DTLA,22.5,30.0,4500,CHARGING,,01:15:00
LAX,35.0,55.0,4500,CHARGING,,01:15:00
LAX,52.5,55.0,5100,CHARGING,,01:25:00
LAX,27.5,32.5,5400,CHARGING,,01:30:00
LAX,50.0,55.0,5400,CHARGING,,01:30:00
LAX,32.5,47.5,5700,CHARGING,,01:35:00
DTLA,57.5,60.0,6000,CHARGING,,01:40:00
DTLA,30.0,40.0,7200,CHARGING,,02:00:00
DTLA,30.0,40.0,7200,CHARGING,,02:00:00
LAX,25.0,27.5,7500,CHARGING,,02:05:00
LAX,25.0,27.5,7500,CHARGING,,02:05:00
LAX,20.0,32.5,7800,CHARGING,,02:10:00
DTLA,42.5,45.0,8100,CHARGING,,02:15:00
DTLA,40.0,45.0,8700,CHARGING,,02:25:00
DTLA,40.0,45.0,8700,CHARGING,,02:25:00
DTLA,22.5,25.0,9300,CHARGING,,02:35:00
DTLA,22.5,25.0,9300,CHARGING,,02:35:00
DTLA,50.0,52.5,10200,CHARGING,,02:50:00
DTLA,50.0,57.5,10500,CHARGING,,02:55:00
DTLA,52.5,55.0,10500,CHARGING,,02:55:00
DTLA,25.0,37.5,10500,CHARGING,,02:55:00
