vertiport_id,init_soc,target_soc,charging_start_time,process,location,charging_start_time_datetime
DTLA,30,55,0,CHARGING,DTLA_PARK11,00:00:00
DTLA,95,95,0,PARKING,DTLA_PARK12,00:00:00
LAX,90,90,0,PARKING,LAX_PARK11,00:00:00
LAX,70,70,0,PARKING,LAX_PARK12,00:00:00
DTLA,95,95,0,PARKING,DTLA_PARK13,00:00:00
DTLA,100,100,0,PARKING,DTLA_PARK14,00:00:00
DTLA,70,75,0,CHARGING,DTLA_PARK15,00:00:00
DTLA,50,80,0,CHARGING,DTLA_PARK16,00:00:00
DTLA,90,100,0,CHARGING,DTLA_PARK17,00:00:00
LAX,90,95,300,CHARGING,,00:05:00
DTLA,95,100,900,CHARGING,,00:15:00
DTLA,60,65,900,CHARGING,,00:15:00
DTLA,95,100,900,CHARGING,,00:15:00
LAX,95,100,1500,CHARGING,,00:25:00
LAX,45,75,2100,CHARGING,,00:35:00
LAX,45,75,2100,CHARGING,,00:35:00
DTLA,45,60,2700,CHARGING,,00:45:00
DTLA,60,65,3300,CHARGING,,00:55:00
DTLA,65,80,4800,CHARGING,,01:20:00
DTLA,65,80,4800,CHARGING,,01:20:00
DTLA,45,50,4800,CHARGING,,01:20:00
LAX,90,95,5100,CHARGING,,01:25:00
LAX,90,95,5100,CHARGING,,01:25:00
LAX,90,95,5400,CHARGING,,01:30:00
DTLA,60,70,5400,CHARGING,,01:30:00
LAX,30,55,5700,CHARGING,,01:35:00
DTLA,30,40,6300,CHARGING,,01:45:00
LAX,80,85,6300,CHARGING,,01:45:00
LAX,70,90,6600,CHARGING,,01:50:00
LAX,95,100,6600,CHARGING,,01:50:00
LAX,70,90,6600,CHARGING,,01:50:00
DTLA,85,100,6900,CHARGING,,01:55:00
DTLA,85,100,6900,CHARGING,,01:55:00
LAX,55,95,7200,CHARGING,,02:00:00
LAX,85,90,7200,CHARGING,,02:00:00
DTLA,20,35,8100,CHARGING,,02:15:00
DTLA,35,60,9000,CHARGING,,02:30:00
DTLA,30,40,10800,CHARGING,,03:00:00
LAX,50,95,11400,CHARGING,,03:10:00
DTLA,60,70,11700,CHARGING,,03:15:00
DTLA,40,50,12300,CHARGING,,03:25:00
LAX,30,50,12900,CHARGING,,03:35:00
LAX,55,60,14100,CHARGING,,03:55:00
DTLA,20,30,14400,CHARGING,,04:00:00
LAX,40,100,14400,CHARGING,,04:00:00
DTLA,30,50,15000,CHARGING,,04:10:00
DTLA,50,65,15000,CHARGING,,04:10:00
DTLA,60,80,15300,CHARGING,,04:15:00
DTLA,60,80,15300,CHARGING,,04:15:00
LAX,40,65,15600,CHARGING,,04:20:00
DTLA,30,45,15600,CHARGING,,04:20:00
LAX,30,70,15900,CHARGING,,04:25:00
DTLA,85,100,16500,CHARGING,,04:35:00
LAX,40,90,17100,CHARGING,,04:45:00
LAX,35,80,17400,CHARGING,,04:50:00
LAX,45,85,18300,CHARGING,,05:05:00
DTLA,60,75,18600,CHARGING,,05:10:00
DTLA,60,75,18600,CHARGING,,05:10:00
DTLA,25,40,19800,CHARGING,,05:30:00
LAX,65,70,20100,CHARGING,,05:35:00
LAX,65,70,20100,CHARGING,,05:35:00
LAX,70,95,20400,CHARGING,,05:40:00
LAX,70,95,20400,CHARGING,,05:40:00
LAX,30,100,20700,CHARGING,,05:45:00
DTLA,70,75,21000,CHARGING,,05:50:00
LAX,30,85,21600,CHARGING,,06:00:00
LAX,70,100,22200,CHARGING,,06:10:00
LAX,65,85,22500,CHARGING,,06:15:00
LAX,45,100,23100,CHARGING,,06:25:00
LAX,70,80,24000,CHARGING,,06:40:00
LAX,80,85,24300,CHARGING,,06:45:00
DTLA,75,80,24900,CHARGING,,06:55:00
LAX,80,95,24900,CHARGING,,06:55:00
