passenger_id,passenger_arrival_time,origin_vertiport_id,destination_vertiport_id
0,1376.0,DTLA,LAX
1,1459.0,DTLA,LAX
2,3773.0,DTLA,LAX
3,4645.0,DTLA,LAX
4,8451.0,DTLA,LAX
5,10325.0,DTLA,LAX
6,10919.0,DTLA,LAX
7,11074.0,DTLA,LAX
8,11677.0,DTLA,LAX
9,11680.0,DTLA,LAX
10,11736.0,DTLA,LAX
11,12123.0,DTLA,LAX
12,12172.0,DTLA,LAX
13,12316.0,DTLA,LAX
14,12671.0,DTLA,LAX
15,12919.0,DTLA,LAX
16,12944.0,DTLA,LAX
17,12997.0,DTLA,LAX
18,13157.0,DTLA,LAX
19,13173.0,DTLA,LAX
20,13214.0,DTLA,LAX
21,13221.0,DTLA,LAX
22,13448.0,DTLA,LAX
23,13506.0,DTLA,LAX
24,13739.0,DTLA,LAX
25,13827.0,DTLA,LAX
26,13838.0,DTLA,LAX
27,14106.0,DTLA,LAX
28,14124.0,DTLA,LAX
29,14157.0,DTLA,LAX
30,14267.0,DTLA,LAX
31,14417.0,DTLA,LAX
32,14648.0,DTLA,LAX
33,14688.0,DTLA,LAX
34,14866.0,DTLA,LAX
35,14929.0,DTLA,LAX
36,15002.0,DTLA,LAX
37,15081.0,DTLA,LAX
38,15084.0,DTLA,LAX
39,15144.0,DTLA,LAX
40,15225.0,DTLA,LAX
41,15439.0,DTLA,LAX
42,15511.0,DTLA,LAX
43,15529.0,DTLA,LAX
44,15676.0,DTLA,LAX
45,15738.0,DTLA,LAX
46,15757.0,DTLA,LAX
47,15776.0,DTLA,LAX
48,15900.0,DTLA,LAX
49,15912.0,DTLA,LAX
50,15928.0,DTLA,LAX
51,16228.0,DTLA,LAX
52,16248.0,DTLA,LAX
53,16305.0,DTLA,LAX
54,16313.0,DTLA,LAX
55,16376.0,DTLA,LAX
56,16463.0,DTLA,LAX
57,16479.0,DTLA,LAX
58,16572.0,DTLA,LAX
59,16794.0,DTLA,LAX
60,16865.0,DTLA,LAX
61,16908.0,DTLA,LAX
62,16928.0,DTLA,LAX
63,16975.0,DTLA,LAX
64,16985.0,DTLA,LAX
65,17213.0,DTLA,LAX
66,17311.0,DTLA,LAX
67,17344.0,DTLA,LAX
68,17348.0,DTLA,LAX
69,17422.0,DTLA,LAX
70,17467.0,DTLA,LAX
71,18057.0,DTLA,LAX
72,18088.0,DTLA,LAX
73,18233.0,DTLA,LAX
74,18311.0,DTLA,LAX
75,18395.0,DTLA,LAX
76,18422.0,DTLA,LAX
77,18443.0,DTLA,LAX
78,18821.0,DTLA,LAX
