origin_vertiport_id,destination_vertiport_id,aircraft_pushback_time,soc,tail_number,aircraft_pushback_datetime
LAX,DTLA,300,72.5,,00:05:00
DTLA,LAX,600,97.5,,00:10:00
LAX,DTLA,900,82.5,,00:15:00
DTLA,LAX,900,67.5,,00:15:00
LAX,DTLA,1200,50.0,,00:20:00
LAX,DTLA,1200,90.0,,00:20:00
DTLA,LAX,1500,70.0,,00:25:00
LAX,DTLA,1800,67.5,,00:30:00
DTLA,LAX,1800,80.0,,00:30:00
DTLA,LAX,2100,47.5,,00:35:00
DTLA,LAX,2100,77.5,,00:35:00
LAX,DTLA,2100,62.5,,00:35:00
LAX,DTLA,2400,75.0,,00:40:00
LAX,DTLA,2700,40.0,,00:45:00
LAX,DTLA,3000,70.0,,00:50:00
DTLA,LAX,3000,65.0,,00:50:00
LAX,DTLA,3300,82.5,,00:55:00
DTLA,LAX,3300,30.0,,00:55:00
LAX,DTLA,3600,57.5,,01:00:00
DTLA,LAX,3600,60.0,,01:00:00
DTLA,LAX,3900,72.5,,01:05:00
DTLA,LAX,3900,90.0,,01:05:00
LAX,DTLA,4200,52.5,,01:10:00
LAX,DTLA,4500,47.5,,01:15:00
DTLA,LAX,4500,85.0,,01:15:00
LAX,DTLA,5700,100.0,,01:35:00
DTLA,LAX,6000,45.0,,01:40:00
DTLA,LAX,6600,100.0,,01:50:00
LAX,DTLA,6600,37.5,,01:50:00
DTLA,LAX,6900,97.5,,01:55:00
LAX,DTLA,6900,95.0,,01:55:00
LAX,DTLA,7200,92.5,,02:00:00
DTLA,LAX,7500,100.0,,02:05:00
LAX,DTLA,7800,95.0,,02:10:00
LAX,DTLA,8400,97.5,,02:20:00
LAX,DTLA,8700,95.0,,02:25:00
DTLA,LAX,8700,100.0,,02:25:00
LAX,DTLA,8700,95.0,,02:25:00
DTLA,LAX,9000,100.0,,02:30:00
LAX,DTLA,9300,92.5,,02:35:00
LAX,DTLA,9900,92.5,,02:45:00
DTLA,LAX,11100,100.0,,03:05:00
DTLA,LAX,11700,90.0,,03:15:00
LAX,DTLA,12000,92.5,,03:20:00
DTLA,LAX,12300,100.0,,03:25:00
LAX,DTLA,12600,82.5,,03:30:00
DTLA,LAX,12600,82.5,,03:30:00
LAX,DTLA,12900,92.5,,03:35:00
DTLA,LAX,12900,100.0,,03:35:00
DTLA,LAX,13200,72.5,,03:40:00
DTLA,LAX,13500,100.0,,03:45:00
