origin_vertiport_id,destination_vertiport_id,aircraft_pushback_time,soc,tail_number,aircraft_pushback_datetime
LAX,DTLA,300,70,,00:05:00
DTLA,LAX,300,75,,00:05:00
LAX,DTLA,900,65,,00:15:00
DTLA,LAX,1200,65,,00:20:00
DTLA,LAX,1500,55,,00:25:00
DTLA,LAX,1500,55,,00:25:00
DTLA,LAX,2100,80,,00:35:00
LAX,DTLA,2100,55,,00:35:00
LAX,DTLA,2700,70,,00:45:00
DTLA,LAX,3000,100,,00:50:00
DTLA,LAX,3600,65,,01:00:00
LAX,DTLA,3600,90,,01:00:00
LAX,DTLA,3900,75,,01:05:00
LAX,DTLA,3900,75,,01:05:00
DTLA,LAX,3900,60,,01:05:00
LAX,DTLA,4200,55,,01:10:00
DTLA,LAX,4200,80,,01:10:00
LAX,DTLA,4500,50,,01:15:00
DTLA,LAX,4500,100,,01:15:00
DTLA,LAX,4500,100,,01:15:00
DTLA,LAX,4800,100,,01:20:00
LAX,DTLA,4800,70,,01:20:00
DTLA,LAX,5100,40,,01:25:00
DTLA,LAX,5100,50,,01:25:00
LAX,DTLA,5100,100,,01:25:00
DTLA,LAX,5700,90,,01:35:00
LAX,DTLA,5700,40,,01:35:00
DTLA,LAX,6000,80,,01:40:00
DTLA,LAX,6000,80,,01:40:00
DTLA,LAX,6000,70,,01:40:00
LAX,DTLA,6300,95,,01:45:00
LAX,DTLA,6300,95,,01:45:00
LAX,DTLA,6900,60,,01:55:00
DTLA,LAX,6900,40,,01:55:00
DTLA,LAX,7500,50,,02:05:00
LAX,DTLA,7500,30,,02:05:00
LAX,DTLA,7800,90,,02:10:00
LAX,DTLA,8100,40,,02:15:00
LAX,DTLA,8700,90,,02:25:00
LAX,DTLA,8700,90,,02:25:00
DTLA,LAX,8700,80,,02:25:00
LAX,DTLA,9300,70,,02:35:00
DTLA,LAX,9300,80,,02:35:00
DTLA,LAX,9300,80,,02:35:00
LAX,DTLA,9900,70,,02:45:00
LAX,DTLA,9900,70,,02:45:00
DTLA,LAX,10500,60,,02:55:00
LAX,DTLA,10500,100,,02:55:00
DTLA,LAX,10800,60,,03:00:00
DTLA,LAX,11100,60,,03:05:00
LAX,DTLA,11100,50,,03:05:00
DTLA,LAX,11400,40,,03:10:00
DTLA,LAX,11700,90,,03:15:00
LAX,DTLA,11700,95,,03:15:00
LAX,DTLA,11700,50,,03:15:00
DTLA,LAX,12000,40,,03:20:00
DTLA,LAX,12300,85,,03:25:00
LAX,DTLA,12300,30,,03:25:00
LAX,DTLA,12600,80,,03:30:00
DTLA,LAX,12600,70,,03:30:00
LAX,DTLA,12900,75,,03:35:00
DTLA,LAX,12900,100,,03:35:00
DTLA,LAX,12900,100,,03:35:00
DTLA,LAX,13200,70,,03:40:00
LAX,DTLA,13500,90,,03:45:00
LAX,DTLA,13500,90,,03:45:00
LAX,DTLA,13500,60,,03:45:00
DTLA,LAX,13500,65,,03:45:00
DTLA,LAX,13800,50,,03:50:00
DTLA,LAX,14100,80,,03:55:00
LAX,DTLA,14100,60,,03:55:00
LAX,DTLA,14100,50,,03:55:00
DTLA,LAX,14100,80,,03:55:00
LAX,DTLA,14400,60,,04:00:00
DTLA,LAX,14400,50,,04:00:00
LAX,DTLA,14700,70,,04:05:00
DTLA,LAX,14700,50,,04:05:00
LAX,DTLA,14700,70,,04:05:00
LAX,DTLA,15000,40,,04:10:00
DTLA,LAX,15300,40,,04:15:00
LAX,DTLA,15900,95,,04:25:00
DTLA,LAX,15900,65,,04:25:00
DTLA,LAX,16200,50,,04:30:00
DTLA,LAX,16500,45,,04:35:00
DTLA,LAX,17100,80,,04:45:00
DTLA,LAX,17100,80,,04:45:00
LAX,DTLA,17100,65,,04:45:00
LAX,DTLA,17400,55,,04:50:00
DTLA,LAX,17700,55,,04:55:00
LAX,DTLA,18000,70,,05:00:00
LAX,DTLA,18000,70,,05:00:00
