vertiport_id,init_soc,target_soc,charging_start_time,process,location,charging_start_time_datetime
LAX,30.0,52.5,0,CHARGING,LAX_PARK11,00:00:00
DTLA,37.5,37.5,0,PARKING,DTLA_PARK11,00:00:00
DTLA,27.5,27.5,0,PARKING,DTLA_PARK12,00:00:00
LAX,40.0,40.0,0,PARKING,LAX_PARK12,00:00:00
LAX,30.0,30.0,0,PARKING,LAX_PARK13,00:00:00
LAX,27.5,27.5,0,PARKING,LAX_PARK14,00:00:00
LAX,25.0,25.0,0,PARKING,LAX_PARK15,00:00:00
DTLA,40.0,40.0,0,PARKING,DTLA_PARK13,00:00:00
DTLA,40.0,40.0,0,PARKING,DTLA_PARK14,00:00:00
DTLA,47.5,52.5,0,CHARGING,DTLA_PARK15,00:00:00
DTLA,45.0,55.0,0,CHARGING,DTLA_PARK16,00:00:00
DTLA,42.5,45.0,0,CHARGING,DTLA_PARK17,00:00:00
LAX,45.0,57.5,0,CHARGING,LAX_PARK16,00:00:00
LAX,30.0,42.5,600,CHARGING,,00:10:00
LAX,27.5,40.0,600,CHARGING,,00:10:00
LAX,40.0,50.0,600,CHARGING,,00:10:00
LAX,22.5,25.0,1200,CHARGING,,00:20:00
LAX,47.5,60.0,1500,CHARGING,,00:25:00
DTLA,20.0,25.0,1500,CHARGING,,00:25:00
DTLA,55.0,60.0,1800,CHARGING,,00:30:00
DTLA,27.5,50.0,1800,CHARGING,,00:30:00
LAX,40.0,42.5,1800,CHARGING,,00:30:00
LAX,40.0,42.5,1800,CHARGING,,00:30:00
DTLA,30.0,50.0,1800,CHARGING,,00:30:00
LAX,42.5,47.5,2100,CHARGING,,00:35:00
LAX,25.0,30.0,2100,CHARGING,,00:35:00
LAX,50.0,55.0,2100,CHARGING,,00:35:00
LAX,20.0,27.5,2400,CHARGING,,00:40:00
LAX,25.0,30.0,3000,CHARGING,,00:50:00
DTLA,47.5,55.0,3300,CHARGING,,00:55:00
LAX,32.5,35.0,3300,CHARGING,,00:55:00
DTLA,22.5,25.0,3600,CHARGING,,01:00:00
LAX,20.0,57.5,3600,CHARGING,,01:00:00
LAX,47.5,50.0,4200,CHARGING,,01:10:00
LAX,47.5,50.0,4200,CHARGING,,01:10:00
DTLA,30.0,50.0,5100,CHARGING,,01:25:00
DTLA,37.5,60.0,5100,CHARGING,,01:25:00
DTLA,45.0,55.0,6300,CHARGING,,01:45:00
DTLA,25.0,37.5,6900,CHARGING,,01:55:00
LAX,20.0,35.0,7500,CHARGING,,02:05:00
DTLA,55.0,57.5,7500,CHARGING,,02:05:00
DTLA,52.5,55.0,8400,CHARGING,,02:20:00
DTLA,57.5,60.0,8700,CHARGING,,02:25:00
DTLA,37.5,40.0,9000,CHARGING,,02:30:00
DTLA,40.0,52.5,9300,CHARGING,,02:35:00
DTLA,35.0,42.5,10200,CHARGING,,02:50:00
DTLA,45.0,55.0,10200,CHARGING,,02:50:00
DTLA,30.0,40.0,11400,CHARGING,,03:10:00
DTLA,42.5,57.5,11400,CHARGING,,03:10:00
DTLA,40.0,45.0,12000,CHARGING,,03:20:00
LAX,40.0,42.5,12300,CHARGING,,03:25:00
DTLA,50.0,52.5,12600,CHARGING,,03:30:00
DTLA,45.0,47.5,13200,CHARGING,,03:40:00
LAX,55.0,57.5,13200,CHARGING,,03:40:00
DTLA,42.5,45.0,14100,CHARGING,,03:55:00
DTLA,37.5,40.0,14400,CHARGING,,04:00:00
LAX,52.5,57.5,15000,CHARGING,,04:10:00
DTLA,55.0,57.5,15300,CHARGING,,04:15:00
LAX,35.0,37.5,15900,CHARGING,,04:25:00
DTLA,50.0,55.0,15900,CHARGING,,04:25:00
DTLA,50.0,55.0,15900,CHARGING,,04:25:00
LAX,35.0,37.5,15900,CHARGING,,04:25:00
DTLA,32.5,50.0,17100,CHARGING,,04:45:00
DTLA,20.0,37.5,17400,CHARGING,,04:50:00
LAX,50.0,57.5,17700,CHARGING,,04:55:00
LAX,50.0,57.5,17700,CHARGING,,04:55:00
DTLA,22.5,37.5,18000,CHARGING,,05:00:00
DTLA,22.5,30.0,18300,CHARGING,,05:05:00
LAX,47.5,50.0,18600,CHARGING,,05:10:00
DTLA,50.0,57.5,18600,CHARGING,,05:10:00
LAX,22.5,57.5,18900,CHARGING,,05:15:00
LAX,35.0,42.5,19200,CHARGING,,05:20:00
DTLA,25.0,27.5,19200,CHARGING,,05:20:00
DTLA,25.0,27.5,19200,CHARGING,,05:20:00
LAX,25.0,45.0,19800,CHARGING,,05:30:00
LAX,22.5,27.5,20100,CHARGING,,05:35:00
DTLA,32.5,35.0,20100,CHARGING,,05:35:00
LAX,22.5,27.5,20100,CHARGING,,05:35:00
DTLA,35.0,37.5,20400,CHARGING,,05:40:00
DTLA,27.5,30.0,20400,CHARGING,,05:40:00
LAX,27.5,30.0,20400,CHARGING,,05:40:00
LAX,27.5,30.0,20400,CHARGING,,05:40:00
LAX,22.5,37.5,20400,CHARGING,,05:40:00
DTLA,45.0,50.0,20400,CHARGING,,05:40:00
LAX,25.0,32.5,21300,CHARGING,,05:55:00
LAX,47.5,50.0,21300,CHARGING,,05:55:00
LAX,47.5,50.0,21300,CHARGING,,05:55:00
DTLA,27.5,45.0,21600,CHARGING,,06:00:00
DTLA,40.0,50.0,21900,CHARGING,,06:05:00
LAX,20.0,40.0,22200,CHARGING,,06:10:00
DTLA,45.0,52.5,22500,CHARGING,,06:15:00
LAX,22.5,25.0,22500,CHARGING,,06:15:00
LAX,20.0,30.0,22800,CHARGING,,06:20:00
LAX,25.0,30.0,22800,CHARGING,,06:20:00
DTLA,27.5,30.0,22800,CHARGING,,06:20:00
LAX,30.0,37.5,23100,CHARGING,,06:25:00
LAX,22.5,42.5,23100,CHARGING,,06:25:00
DTLA,22.5,42.5,23100,CHARGING,,06:25:00
LAX,35.0,37.5,23400,CHARGING,,06:30:00
DTLA,35.0,57.5,23700,CHARGING,,06:35:00
DTLA,25.0,32.5,24000,CHARGING,,06:40:00
LAX,25.0,37.5,24900,CHARGING,,06:55:00
DTLA,42.5,47.5,25200,CHARGING,,07:00:00
LAX,37.5,45.0,25200,CHARGING,,07:00:00
DTLA,47.5,52.5,25800,CHARGING,,07:10:00
LAX,22.5,27.5,25800,CHARGING,,07:10:00
DTLA,22.5,27.5,25800,CHARGING,,07:10:00
DTLA,22.5,37.5,25800,CHARGING,,07:10:00
DTLA,22.5,27.5,25800,CHARGING,,07:10:00
LAX,20.0,25.0,26400,CHARGING,,07:20:00
LAX,20.0,25.0,26400,CHARGING,,07:20:00
LAX,25.0,35.0,26400,CHARGING,,07:20:00
DTLA,40.0,42.5,26400,CHARGING,,07:20:00
DTLA,22.5,25.0,26700,CHARGING,,07:25:00
DTLA,52.5,55.0,26700,CHARGING,,07:25:00
LAX,35.0,37.5,27000,CHARGING,,07:30:00
DTLA,32.5,42.5,27000,CHARGING,,07:30:00
LAX,22.5,32.5,27300,CHARGING,,07:35:00
LAX,32.5,45.0,27300,CHARGING,,07:35:00
LAX,22.5,37.5,27600,CHARGING,,07:40:00
DTLA,20.0,27.5,27600,CHARGING,,07:40:00
DTLA,20.0,27.5,27600,CHARGING,,07:40:00
LAX,52.5,60.0,27600,CHARGING,,07:40:00
LAX,20.0,32.5,27600,CHARGING,,07:40:00
LAX,50.0,57.5,27900,CHARGING,,07:45:00
DTLA,27.5,30.0,28500,CHARGING,,07:55:00
DTLA,27.5,37.5,28800,CHARGING,,08:00:00
LAX,22.5,25.0,28800,CHARGING,,08:00:00
DTLA,22.5,37.5,28800,CHARGING,,08:00:00
DTLA,32.5,37.5,29100,CHARGING,,08:05:00
LAX,22.5,27.5,29100,CHARGING,,08:05:00
LAX,22.5,27.5,29100,CHARGING,,08:05:00
DTLA,32.5,37.5,29100,CHARGING,,08:05:00
LAX,25.0,30.0,29400,CHARGING,,08:10:00
LAX,27.5,40.0,29400,CHARGING,,08:10:00
LAX,27.5,40.0,29400,CHARGING,,08:10:00
DTLA,37.5,40.0,29400,CHARGING,,08:10:00
DTLA,22.5,37.5,29400,CHARGING,,08:10:00
DTLA,22.5,30.0,29400,CHARGING,,08:10:00
DTLA,37.5,40.0,29700,CHARGING,,08:15:00
DTLA,20.0,30.0,29700,CHARGING,,08:15:00
LAX,32.5,35.0,30000,CHARGING,,08:20:00
LAX,32.5,35.0,30000,CHARGING,,08:20:00
DTLA,30.0,35.0,30300,CHARGING,,08:25:00
DTLA,30.0,35.0,30300,CHARGING,,08:25:00
LAX,35.0,37.5,30600,CHARGING,,08:30:00
DTLA,25.0,27.5,30900,CHARGING,,08:35:00
DTLA,30.0,40.0,30900,CHARGING,,08:35:00
DTLA,30.0,40.0,30900,CHARGING,,08:35:00
LAX,32.5,35.0,30900,CHARGING,,08:35:00
DTLA,20.0,35.0,31200,CHARGING,,08:40:00
LAX,30.0,35.0,31500,CHARGING,,08:45:00
LAX,30.0,35.0,31500,CHARGING,,08:45:00
DTLA,40.0,45.0,31500,CHARGING,,08:45:00
LAX,30.0,32.5,31800,CHARGING,,08:50:00
LAX,30.0,32.5,31800,CHARGING,,08:50:00
LAX,35.0,40.0,32100,CHARGING,,08:55:00
DTLA,20.0,37.5,32100,CHARGING,,08:55:00
LAX,22.5,47.5,32400,CHARGING,,09:00:00
LAX,25.0,27.5,32400,CHARGING,,09:00:00
DTLA,30.0,40.0,32400,CHARGING,,09:00:00
DTLA,30.0,40.0,32400,CHARGING,,09:00:00
LAX,32.5,50.0,32400,CHARGING,,09:00:00
DTLA,22.5,40.0,32700,CHARGING,,09:05:00
DTLA,27.5,45.0,33000,CHARGING,,09:10:00
DTLA,22.5,25.0,33300,CHARGING,,09:15:00
DTLA,25.0,47.5,33300,CHARGING,,09:15:00
LAX,32.5,35.0,33600,CHARGING,,09:20:00
DTLA,32.5,45.0,33600,CHARGING,,09:20:00
DTLA,30.0,40.0,34200,CHARGING,,09:30:00
LAX,20.0,25.0,34200,CHARGING,,09:30:00
LAX,30.0,45.0,34500,CHARGING,,09:35:00
LAX,25.0,37.5,34500,CHARGING,,09:35:00
DTLA,30.0,42.5,34500,CHARGING,,09:35:00
LAX,25.0,37.5,34800,CHARGING,,09:40:00
LAX,25.0,37.5,35700,CHARGING,,09:55:00
LAX,20.0,30.0,35700,CHARGING,,09:55:00
LAX,37.5,52.5,35700,CHARGING,,09:55:00
DTLA,32.5,37.5,36000,CHARGING,,10:00:00
DTLA,32.5,37.5,36000,CHARGING,,10:00:00
DTLA,35.0,40.0,36000,CHARGING,,10:00:00
DTLA,35.0,40.0,36000,CHARGING,,10:00:00
LAX,30.0,40.0,36300,CHARGING,,10:05:00
DTLA,37.5,40.0,36600,CHARGING,,10:10:00
DTLA,25.0,47.5,36600,CHARGING,,10:10:00
LAX,32.5,37.5,36900,CHARGING,,10:15:00
DTLA,30.0,37.5,36900,CHARGING,,10:15:00
LAX,32.5,37.5,36900,CHARGING,,10:15:00
DTLA,32.5,47.5,37200,CHARGING,,10:20:00
DTLA,32.5,47.5,37200,CHARGING,,10:20:00
LAX,35.0,52.5,37200,CHARGING,,10:20:00
LAX,35.0,52.5,37200,CHARGING,,10:20:00
DTLA,35.0,50.0,37500,CHARGING,,10:25:00
LAX,20.0,42.5,37500,CHARGING,,10:25:00
DTLA,32.5,35.0,37800,CHARGING,,10:30:00
DTLA,47.5,52.5,38100,CHARGING,,10:35:00
LAX,32.5,42.5,38100,CHARGING,,10:35:00
LAX,27.5,35.0,38400,CHARGING,,10:40:00
DTLA,30.0,37.5,38700,CHARGING,,10:45:00
LAX,30.0,32.5,39000,CHARGING,,10:50:00
LAX,42.5,47.5,39000,CHARGING,,10:50:00
DTLA,37.5,40.0,39300,CHARGING,,10:55:00
DTLA,20.0,47.5,39600,CHARGING,,11:00:00
LAX,32.5,37.5,39900,CHARGING,,11:05:00
LAX,32.5,37.5,39900,CHARGING,,11:05:00
