origin_vertiport_id,destination_vertiport_id,aircraft_pushback_time,soc,tail_number,aircraft_pushback_datetime
LAX,DTLA,300,25.0,,00:05:00
DTLA,LAX,300,40.0,,00:05:00
DTLA,LAX,300,27.5,,00:05:00
DTLA,LAX,300,40.0,,00:05:00
DTLA,LAX,300,37.5,,00:05:00
DTLA,LAX,600,45.0,,00:10:00
LAX,DTLA,900,32.5,,00:15:00
DTLA,LAX,900,52.5,,00:15:00
LAX,DTLA,1200,35.0,,00:20:00
LAX,DTLA,1200,35.0,,00:20:00
DTLA,LAX,1800,25.0,,00:30:00
LAX,DTLA,1800,42.5,,00:30:00
DTLA,LAX,2100,30.0,,00:35:00
LAX,DTLA,2100,52.5,,00:35:00
LAX,DTLA,2400,30.0,,00:40:00
DTLA,LAX,2700,37.5,,00:45:00
LAX,DTLA,2700,57.5,,00:45:00
DTLA,LAX,3000,25.0,,00:50:00
LAX,DTLA,3000,27.5,,00:50:00
LAX,DTLA,3300,30.0,,00:55:00
LAX,DTLA,3600,55.0,,01:00:00
DTLA,LAX,3600,52.5,,01:00:00
LAX,DTLA,4200,35.0,,01:10:00
LAX,DTLA,4500,42.5,,01:15:00
LAX,DTLA,5700,50.0,,01:35:00
DTLA,LAX,6300,60.0,,01:45:00
LAX,DTLA,6600,50.0,,01:50:00
DTLA,LAX,6900,25.0,,01:55:00
LAX,DTLA,6900,55.0,,01:55:00
LAX,DTLA,7200,60.0,,02:00:00
LAX,DTLA,7800,57.5,,02:10:00
DTLA,LAX,8100,55.0,,02:15:00
DTLA,LAX,8100,55.0,,02:15:00
DTLA,LAX,8400,45.0,,02:20:00
LAX,DTLA,8400,35.0,,02:20:00
LAX,DTLA,8700,50.0,,02:25:00
LAX,DTLA,8700,50.0,,02:25:00
DTLA,LAX,9000,55.0,,02:30:00
LAX,DTLA,9300,40.0,,02:35:00
LAX,DTLA,9900,50.0,,02:45:00
DTLA,LAX,11100,45.0,,03:05:00
