schedule,od
0.0,LAX_DTLA
5.0,LAX_DTLA
10.0,LAX_DTLA
15.0,LAX_DTLA
20.0,LAX_DTLA
25.0,LAX_DTLA
30.0,LAX_DTLA
35.0,LAX_DTLA
40.0,LAX_DTLA
45.0,LAX_DTLA
50.0,LAX_DTLA
55.0,LAX_DTLA
60.0,LAX_DTLA
68.57,LAX_DTLA
77.14,LAX_DTLA
85.71,LAX_DTLA
94.29,LAX_DTLA
102.86,LAX_DTLA
111.43,LAX_DTLA
120.0,LAX_DTLA
130.0,LAX_DTLA
140.0,LAX_DTLA
150.0,LAX_DTLA
160.0,LAX_DTLA
170.0,LAX_DTLA
180.0,LAX_DTLA
195.0,LAX_DTLA
210.0,LAX_DTLA
225.0,LAX_DTLA
240.0,LAX_DTLA
255.0,LAX_DTLA
270.0,LAX_DTLA
285.0,LAX_DTLA
300.0,LAX_DTLA
310.0,LAX_DTLA
320.0,LAX_DTLA
330.0,LAX_DTLA
340.0,LAX_DTLA
350.0,LAX_DTLA
360.0,LAX_DTLA
370.0,LAX_DTLA
380.0,LAX_DTLA
390.0,LAX_DTLA
400.0,LAX_DTLA
410.0,LAX_DTLA
420.0,LAX_DTLA
424.0,LAX_DTLA
428.0,LAX_DTLA
432.0,LAX_DTLA
436.0,LAX_DTLA
440.0,LAX_DTLA
444.0,LAX_DTLA
448.0,LAX_DTLA
452.0,LAX_DTLA
456.0,LAX_DTLA
460.0,LAX_DTLA
464.0,LAX_DTLA
468.0,LAX_DTLA
472.0,LAX_DTLA
476.0,LAX_DTLA
480.0,LAX_DTLA
484.62,LAX_DTLA
489.23,LAX_DTLA
493.85,LAX_DTLA
498.46,LAX_DTLA
503.08,LAX_DTLA
507.69,LAX_DTLA
512.31,LAX_DTLA
516.92,LAX_DTLA
521.54,LAX_DTLA
526.15,LAX_DTLA
530.77,LAX_DTLA
535.38,LAX_DTLA
540.0,LAX_DTLA
542.73,LAX_DTLA
545.45,LAX_DTLA
548.18,LAX_DTLA
550.91,LAX_DTLA
553.64,LAX_DTLA
556.36,LAX_DTLA
559.09,LAX_DTLA
561.82,LAX_DTLA
564.55,LAX_DTLA
567.27,LAX_DTLA
570.0,LAX_DTLA
572.73,LAX_DTLA
575.45,LAX_DTLA
578.18,LAX_DTLA
580.91,LAX_DTLA
583.64,LAX_DTLA
586.36,LAX_DTLA
589.09,LAX_DTLA
591.82,LAX_DTLA
594.55,LAX_DTLA
597.27,LAX_DTLA
600.0,LAX_DTLA
603.16,LAX_DTLA
606.32,LAX_DTLA
609.47,LAX_DTLA
612.63,LAX_DTLA
615.79,LAX_DTLA
618.95,LAX_DTLA
622.11,LAX_DTLA
625.26,LAX_DTLA
628.42,LAX_DTLA
631.58,LAX_DTLA
634.74,LAX_DTLA
637.89,LAX_DTLA
641.05,LAX_DTLA
644.21,LAX_DTLA
647.37,LAX_DTLA
650.53,LAX_DTLA
653.68,LAX_DTLA
656.84,LAX_DTLA
660.0,LAX_DTLA
662.86,LAX_DTLA
665.71,LAX_DTLA
668.57,LAX_DTLA
671.43,LAX_DTLA
674.29,LAX_DTLA
677.14,LAX_DTLA
680.0,LAX_DTLA
682.86,LAX_DTLA
685.71,LAX_DTLA
688.57,LAX_DTLA
691.43,LAX_DTLA
694.29,LAX_DTLA
697.14,LAX_DTLA
700.0,LAX_DTLA
702.86,LAX_DTLA
705.71,LAX_DTLA
708.57,LAX_DTLA
711.43,LAX_DTLA
714.29,LAX_DTLA
717.14,LAX_DTLA
720.0,LAX_DTLA
724.0,LAX_DTLA
